id_H,id_A,Fecha,H-Record,Home,H-Score,A-Score,Away,A-Record,Pts-H,Pts-A,Racha-H,Racha-A
231,225,2024-07-05,1-0-0,Puebla,1.0,0.0,Santos,0-0-1,3,0,1,0
222,10125,2024-07-06,0-0-1,Querétaro,1.0,2.0,Tijuana,1-0-0,0,3,0,1
17851,216,2024-07-06,0-1-0,FC Juarez,2.0,2.0,Atlas,0-1-0,1,1,0,0
15720,227,2024-07-06,1-0-0,Atlético de San Luis,2.0,1.0,América,0-0-1,3,0,1,0
232,229,2024-07-07,1-0-0,Tigres UANL,1.0,0.0,Necaxa,0-0-1,3,0,1,0
233,228,2024-07-07,1-0-0,Pumas UNAM,4.0,1.0,León,0-0-1,3,0,1,0
219,223,2024-07-07,0-1-0,Guadalajara,0.0,0.0,Toluca,0-1-0,1,1,0,0
218,20702,2024-07-07,1-0-0,Cruz Azul,1.0,0.0,Mazatlán FC,0-0-1,3,0,1,0
234,220,2024-07-08,0-0-1,Pachuca,0.0,1.0,Monterrey,1-0-0,0,3,0,1
229,231,2024-07-13,1-0-1,Necaxa,4.0,1.0,Puebla,1-0-1,3,3,1,0
20702,15720,2024-07-13,0-1-1,Mazatlán FC,2.0,2.0,Atlético de San Luis,1-1-0,1,4,0,0
228,234,2024-07-13,0-1-1,León,0.0,0.0,Pachuca,0-1-1,1,1,0,0
10125,219,2024-07-13,2-0-0,Tijuana,4.0,2.0,Guadalajara,0-1-1,6,1,2,0
216,232,2024-07-13,0-2-0,Atlas,1.0,1.0,Tigres UANL,1-1-0,2,4,0,0
227,222,2024-07-13,1-0-1,América,3.0,1.0,Querétaro,0-0-2,3,0,1,0
223,17851,2024-07-14,1-1-0,Toluca,3.0,2.0,FC Juarez,0-1-1,4,1,1,0
225,233,2024-07-14,0-1-1,Santos,1.0,1.0,Pumas UNAM,1-1-0,1,4,0,0
220,218,2024-07-14,1-0-1,Monterrey,0.0,4.0,Cruz Azul,2-0-0,3,6,0,2
222,219,2024-07-17,0-0-3,Querétaro,0.0,2.0,Guadalajara,1-1-1,0,4,0,1
231,228,2024-07-17,1-1-1,Puebla,2.0,2.0,León,0-2-1,4,2,0,0
234,15720,2024-07-17,1-1-1,Pachuca,2.0,0.0,Atlético de San Luis,1-1-1,4,4,1,0
218,10125,2024-07-17,3-0-0,Cruz Azul,3.0,0.0,Tijuana,2-0-1,9,6,3,0
216,225,2024-07-17,1-2-0,Atlas,1.0,0.0,Santos,0-1-2,5,1,1,0
229,220,2024-07-18,1-0-2,Necaxa,0.0,1.0,Monterrey,2-0-1,3,6,0,1
232,227,2024-07-18,2-1-0,Tigres UANL,1.0,0.0,América,1-0-2,7,3,1,0
17851,233,2024-07-18,0-1-2,FC Juarez,1.0,2.0,Pumas UNAM,2-1-0,1,7,0,1
223,20702,2024-07-18,2-1-0,Toluca,3.0,0.0,Mazatlán FC,0-1-2,7,1,2,0
231,216,2024-07-20,1-1-2,Puebla,1.0,2.0,Atlas,2-2-0,4,8,0,2
219,20702,2024-07-20,2-1-1,Guadalajara,2.0,0.0,Mazatlán FC,0-1-3,7,1,2,0
15720,10125,2024-07-20,1-2-1,Atlético de San Luis,1.0,1.0,Tijuana,2-1-1,5,7,0,0
17851,227,2024-07-21,0-1-3,FC Juarez,1.0,2.0,América,2-0-2,1,6,0,1
225,232,2024-07-21,0-1-3,Santos,0.0,3.0,Tigres UANL,3-1-0,1,10,0,2
218,223,2024-07-21,3-1-0,Cruz Azul,1.0,1.0,Toluca,2-2-0,10,8,0,0
233,234,2024-07-21,3-1-0,Pumas UNAM,2.0,0.0,Pachuca,1-1-2,10,4,2,0
220,222,2024-07-21,3-0-1,Monterrey,2.0,1.0,Querétaro,0-0-4,9,0,2,0
228,229,2024-07-22,0-3-1,León,1.0,1.0,Necaxa,1-1-2,3,4,0,0
231,220,2024-08-17,1-1-3,Puebla,1.0,2.0,Monterrey,4-0-1,4,12,0,3
15720,222,2024-08-19,2-2-1,Atlético de San Luis,4.0,0.0,Querétaro,0-0-5,8,0,1,0
10125,225,2024-08-19,3-1-1,Tijuana,3.0,1.0,Santos,0-1-4,10,1,1,0
229,17851,2024-08-24,2-1-2,Necaxa,3.0,0.0,FC Juarez,0-1-4,7,1,1,0
10125,220,2024-08-24,3-2-1,Tijuana,2.0,2.0,Monterrey,4-1-1,11,13,0,0
222,218,2024-08-24,0-0-6,Querétaro,0.0,2.0,Cruz Azul,4-1-0,0,13,0,1
20702,234,2024-08-24,1-1-3,Mazatlán FC,3.0,0.0,Pachuca,1-1-3,4,4,1,0
228,225,2024-08-25,0-4-1,León,1.0,1.0,Santos,0-2-4,4,2,0,0
232,219,2024-08-25,3-2-0,Tigres UANL,1.0,1.0,Guadalajara,2-2-1,11,8,0,0
223,15720,2024-08-25,3-2-0,Toluca,2.0,1.0,Atlético de San Luis,2-2-2,11,8,1,0
216,233,2024-08-25,3-2-0,Atlas,2.0,1.0,Pumas UNAM,3-1-1,11,10,3,0
227,231,2024-08-25,2-0-3,América,0.0,1.0,Puebla,2-1-3,6,7,0,1
10125,228,2024-08-31,4-2-1,Tijuana,2.0,1.0,León,0-4-2,14,4,1,0
234,222,2024-08-31,1-2-3,Pachuca,1.0,1.0,Querétaro,0-1-6,5,1,0,0
219,17851,2024-08-31,3-2-1,Guadalajara,5.0,0.0,FC Juarez,0-1-5,11,1,1,0
20702,231,2024-08-31,1-2-3,Mazatlán FC,1.0,1.0,Puebla,2-2-3,5,8,0,0
15720,216,2024-08-31,3-2-2,Atlético de San Luis,2.0,1.0,Atlas,3-2-1,11,11,1,0
233,232,2024-09-01,3-1-2,Pumas UNAM,1.0,3.0,Tigres UANL,4-2-0,10,14,0,1
220,223,2024-09-01,4-1-2,Monterrey,1.0,2.0,Toluca,4-2-0,13,14,0,2
218,227,2024-09-01,5-1-0,Cruz Azul,4.0,1.0,América,2-0-4,16,6,2,0
225,229,2024-09-02,1-2-4,Santos,3.0,2.0,Necaxa,2-1-3,5,7,1,0
231,222,2024-09-14,3-2-3,Puebla,2.0,1.0,Querétaro,0-1-7,11,1,1,0
17851,20702,2024-09-14,1-1-5,FC Juarez,1.0,0.0,Mazatlán FC,1-2-4,4,5,1,0
223,10125,2024-09-14,5-2-0,Toluca,4.0,0.0,Tijuana,4-2-2,17,14,3,0
232,15720,2024-09-14,5-2-0,Tigres UANL,1.0,0.0,Atlético de San Luis,3-2-3,17,11,2,0
229,233,2024-09-14,3-1-3,Necaxa,2.0,0.0,Pumas UNAM,3-1-3,10,10,1,0
216,234,2024-09-14,4-2-1,Atlas,2.0,0.0,Pachuca,1-2-4,14,5,1,0
227,219,2024-09-15,3-0-4,América,1.0,0.0,Guadalajara,3-2-2,9,11,1,0
225,220,2024-09-15,1-2-5,Santos,0.0,2.0,Monterrey,5-1-2,5,16,0,1
228,218,2024-09-15,0-4-3,León,1.0,2.0,Cruz Azul,6-1-0,4,19,0,3
227,216,2024-09-18,4-0-4,América,3.0,0.0,Atlas,4-2-2,12,14,2,0
15720,218,2024-09-18,4-2-3,Atlético de San Luis,3.0,1.0,Cruz Azul,6-1-1,14,19,1,0
234,223,2024-09-18,1-3-4,Pachuca,2.0,2.0,Toluca,5-3-0,6,18,0,0
222,232,2024-09-18,1-1-7,Querétaro,1.0,0.0,Tigres UANL,5-2-1,4,17,1,0
233,231,2024-09-18,4-1-3,Pumas UNAM,1.0,0.0,Puebla,3-2-4,13,11,1,0
219,228,2024-09-19,4-2-2,Guadalajara,2.0,0.0,León,0-4-4,14,4,1,0
220,17851,2024-09-19,6-1-2,Monterrey,3.0,2.0,FC Juarez,1-1-6,19,4,2,0
20702,229,2024-09-19,1-3-4,Mazatlán FC,0.0,0.0,Necaxa,3-2-3,6,11,0,0
216,222,2024-09-21,4-2-3,Atlas,0.0,1.0,Querétaro,2-1-7,14,7,0,2
231,234,2024-09-21,3-2-5,Puebla,2.0,3.0,Pachuca,2-3-4,11,9,0,1
228,15720,2024-09-21,1-4-4,León,1.0,0.0,Atlético de San Luis,4-2-4,7,14,1,0
229,227,2024-09-22,3-3-3,Necaxa,1.0,1.0,América,4-1-4,12,13,0,0
218,219,2024-09-22,7-1-1,Cruz Azul,1.0,0.0,Guadalajara,4-2-3,22,14,1,0
220,20702,2024-09-22,6-2-2,Monterrey,0.0,0.0,Mazatlán FC,1-4-4,20,7,0,0
233,10125,2024-09-22,5-1-3,Pumas UNAM,1.0,0.0,Tijuana,4-2-3,16,14,2,0
17851,232,2024-09-23,1-1-7,FC Juarez,0.0,1.0,Tigres UANL,6-2-1,4,20,0,1
225,223,2024-09-23,2-2-5,Santos,2.0,0.0,Toluca,5-3-1,8,18,1,0
231,17851,2024-09-28,3-2-6,Puebla,2.0,3.0,FC Juarez,2-1-7,11,7,0,1
10125,20702,2024-09-28,5-2-3,Tijuana,1.0,0.0,Mazatlán FC,1-4-5,17,7,1,0
222,229,2024-09-28,2-2-7,Querétaro,0.0,0.0,Necaxa,3-4-3,8,13,0,0
232,228,2024-09-28,6-3-1,Tigres UANL,2.0,2.0,León,1-5-4,21,8,0,0
223,216,2024-09-28,6-3-1,Toluca,4.0,1.0,Atlas,4-2-4,21,14,1,0
234,218,2024-09-29,2-3-5,Pachuca,2.0,4.0,Cruz Azul,8-1-1,9,25,0,2
219,220,2024-09-29,4-3-3,Guadalajara,1.0,1.0,Monterrey,6-3-2,15,21,0,0
15720,225,2024-09-29,5-2-4,Atlético de San Luis,3.0,1.0,Santos,2-2-6,17,8,1,0
227,233,2024-09-30,4-1-5,América,0.0,1.0,Pumas UNAM,6-1-3,13,19,0,3
218,229,2024-10-05,9-1-1,Cruz Azul,3.0,0.0,Necaxa,3-4-4,28,13,3,0
15720,220,2024-10-05,6-2-4,Atlético de San Luis,1.0,0.0,Monterrey,6-3-3,20,21,2,0
20702,222,2024-10-05,1-5-5,Mazatlán FC,2.0,2.0,Querétaro,2-3-7,8,9,0,0
232,231,2024-10-05,7-3-1,Tigres UANL,1.0,0.0,Puebla,3-2-7,24,11,1,0
10125,234,2024-10-05,6-2-3,Tijuana,2.0,1.0,Pachuca,2-3-6,20,9,2,0
223,233,2024-10-06,6-4-1,Toluca,1.0,1.0,Pumas UNAM,6-2-3,22,20,0,0
228,227,2024-10-06,1-6-4,León,1.0,1.0,América,4-2-5,9,14,0,0
219,216,2024-10-06,4-3-4,Guadalajara,2.0,3.0,Atlas,5-2-4,15,17,0,1
225,17851,2024-10-07,2-2-7,Santos,0.0,2.0,FC Juarez,3-1-7,8,10,0,2
229,10125,2024-10-19,3-4-5,Necaxa,1.0,2.0,Tijuana,7-2-3,13,23,0,3
222,223,2024-10-19,2-3-8,Querétaro,0.0,1.0,Toluca,7-4-1,9,25,0,1
231,218,2024-10-19,3-2-8,Puebla,1.0,2.0,Cruz Azul,10-1-1,11,31,0,4
234,219,2024-10-19,2-3-7,Pachuca,0.0,2.0,Guadalajara,5-3-4,9,18,0,1
216,20702,2024-10-19,5-3-4,Atlas,0.0,0.0,Mazatlán FC,1-6-5,18,9,0,0
233,15720,2024-10-20,7-2-3,Pumas UNAM,3.0,0.0,Atlético de San Luis,6-2-5,23,20,1,0
220,232,2024-10-20,7-3-3,Monterrey,4.0,2.0,Tigres UANL,7-3-2,24,24,1,0
17851,228,2024-10-20,3-1-8,FC Juarez,2.0,3.0,León,2-6-4,10,12,0,1
227,225,2024-10-20,5-2-5,América,3.0,0.0,Santos,2-2-8,17,8,1,0
223,231,2024-10-23,8-4-1,Toluca,5.0,0.0,Puebla,3-2-9,28,11,2,0
20702,232,2024-10-23,2-6-5,Mazatlán FC,2.0,0.0,Tigres UANL,7-3-3,12,24,1,0
219,229,2024-10-23,6-3-4,Guadalajara,3.0,2.0,Necaxa,3-4-6,21,13,2,0
225,234,2024-10-23,2-3-8,Santos,1.0,1.0,Pachuca,2-4-7,9,10,0,0
