id_H,id_A,Fecha,H-Record,Home,H-Score,A-Score,Away,A-Record
225,234,2024-10-23,2-3-8,Santos,1.0,1.0,Pachuca,2-4-7
234,219,2024-10-19,2-3-7,Pachuca,0.0,2.0,Guadalajara,5-3-4
10125,234,2024-10-05,6-2-3,Tijuana,2.0,1.0,Pachuca,2-3-6
234,218,2024-09-29,2-3-5,Pachuca,2.0,4.0,Cruz Azul,8-1-1
231,234,2024-09-21,3-2-5,Puebla,2.0,3.0,Pachuca,2-3-4
234,223,2024-09-18,1-3-4,Pachuca,2.0,2.0,Toluca,5-3-0
216,234,2024-09-14,4-2-1,Atlas,2.0,0.0,Pachuca,1-2-4
234,222,2024-08-31,1-2-3,Pachuca,1.0,1.0,Querétaro,0-1-6
20702,234,2024-08-24,1-1-3,Mazatlán FC,3.0,0.0,Pachuca,1-1-3
233,234,2024-07-21,3-1-0,Pumas UNAM,2.0,0.0,Pachuca,1-1-2
234,15720,2024-07-17,1-1-1,Pachuca,2.0,0.0,Atlético de San Luis,1-1-1
228,234,2024-07-13,0-1-1,León,0.0,0.0,Pachuca,0-1-1
234,220,2024-07-08,0-0-1,Pachuca,0.0,1.0,Monterrey,1-0-0
20702,232,2024-10-23,2-6-5,Mazatlán FC,2.0,0.0,Tigres UANL,7-3-3
220,232,2024-10-20,7-3-3,Monterrey,4.0,2.0,Tigres UANL,7-3-2
232,231,2024-10-05,7-3-1,Tigres UANL,1.0,0.0,Puebla,3-2-7
232,228,2024-09-28,6-3-1,Tigres UANL,2.0,2.0,León,1-5-4
17851,232,2024-09-23,1-1-7,FC Juarez,0.0,1.0,Tigres UANL,6-2-1
222,232,2024-09-18,1-1-7,Querétaro,1.0,0.0,Tigres UANL,5-2-1
232,15720,2024-09-14,5-2-0,Tigres UANL,1.0,0.0,Atlético de San Luis,3-2-3
233,232,2024-09-01,3-1-2,Pumas UNAM,1.0,3.0,Tigres UANL,4-2-0
232,219,2024-08-25,3-2-0,Tigres UANL,1.0,1.0,Guadalajara,2-2-1
225,232,2024-07-21,0-1-3,Santos,0.0,3.0,Tigres UANL,3-1-0
232,227,2024-07-18,2-1-0,Tigres UANL,1.0,0.0,América,1-0-2
216,232,2024-07-13,0-2-0,Atlas,1.0,1.0,Tigres UANL,1-1-0
232,229,2024-07-07,1-0-0,Tigres UANL,1.0,0.0,Necaxa,0-0-1
216,20702,2024-10-19,5-3-4,Atlas,0.0,0.0,Mazatlán FC,1-6-5
219,216,2024-10-06,4-3-4,Guadalajara,2.0,3.0,Atlas,5-2-4
223,216,2024-09-28,6-3-1,Toluca,4.0,1.0,Atlas,4-2-4
216,222,2024-09-21,4-2-3,Atlas,0.0,1.0,Querétaro,2-1-7
227,216,2024-09-18,4-0-4,América,3.0,0.0,Atlas,4-2-2
216,234,2024-09-14,4-2-1,Atlas,2.0,0.0,Pachuca,1-2-4
15720,216,2024-08-31,3-2-2,Atlético de San Luis,2.0,1.0,Atlas,3-2-1
216,233,2024-08-25,3-2-0,Atlas,2.0,1.0,Pumas UNAM,3-1-1
231,216,2024-07-20,1-1-2,Puebla,1.0,2.0,Atlas,2-2-0
216,225,2024-07-17,1-2-0,Atlas,1.0,0.0,Santos,0-1-2
216,232,2024-07-13,0-2-0,Atlas,1.0,1.0,Tigres UANL,1-1-0
17851,216,2024-07-06,0-1-0,FC Juarez,2.0,2.0,Atlas,0-1-0
227,225,2024-10-20,5-2-5,América,3.0,0.0,Santos,2-2-8
228,227,2024-10-06,1-6-4,León,1.0,1.0,América,4-2-5
227,233,2024-09-30,4-1-5,América,0.0,1.0,Pumas UNAM,6-1-3
229,227,2024-09-22,3-3-3,Necaxa,1.0,1.0,América,4-1-4
227,216,2024-09-18,4-0-4,América,3.0,0.0,Atlas,4-2-2
227,219,2024-09-15,3-0-4,América,1.0,0.0,Guadalajara,3-2-2
218,227,2024-09-01,5-1-0,Cruz Azul,4.0,1.0,América,2-0-4
227,231,2024-08-25,2-0-3,América,0.0,1.0,Puebla,2-1-3
17851,227,2024-07-21,0-1-3,FC Juarez,1.0,2.0,América,2-0-2
232,227,2024-07-18,2-1-0,Tigres UANL,1.0,0.0,América,1-0-2
227,222,2024-07-13,1-0-1,América,3.0,1.0,Querétaro,0-0-2
15720,227,2024-07-06,1-0-0,Atlético de San Luis,2.0,1.0,América,0-0-1
231,218,2024-10-19,3-2-8,Puebla,1.0,2.0,Cruz Azul,10-1-1
232,231,2024-10-05,7-3-1,Tigres UANL,1.0,0.0,Puebla,3-2-7
231,17851,2024-09-28,3-2-6,Puebla,2.0,3.0,FC Juarez,2-1-7
231,234,2024-09-21,3-2-5,Puebla,2.0,3.0,Pachuca,2-3-4
233,231,2024-09-18,4-1-3,Pumas UNAM,1.0,0.0,Puebla,3-2-4
231,222,2024-09-14,3-2-3,Puebla,2.0,1.0,Querétaro,0-1-7
20702,231,2024-08-31,1-2-3,Mazatlán FC,1.0,1.0,Puebla,2-2-3
227,231,2024-08-25,2-0-3,América,0.0,1.0,Puebla,2-1-3
231,220,2024-08-17,1-1-3,Puebla,1.0,2.0,Monterrey,4-0-1
231,216,2024-07-20,1-1-2,Puebla,1.0,2.0,Atlas,2-2-0
231,228,2024-07-17,1-1-1,Puebla,2.0,2.0,León,0-2-1
229,231,2024-07-13,1-0-1,Necaxa,4.0,1.0,Puebla,1-0-1
231,225,2024-07-05,1-0-0,Puebla,1.0,0.0,Santos,0-0-1
219,229,2024-10-23,6-3-4,Guadalajara,3.0,2.0,Necaxa,3-4-6
234,219,2024-10-19,2-3-7,Pachuca,0.0,2.0,Guadalajara,5-3-4
219,216,2024-10-06,4-3-4,Guadalajara,2.0,3.0,Atlas,5-2-4
219,220,2024-09-29,4-3-3,Guadalajara,1.0,1.0,Monterrey,6-3-2
218,219,2024-09-22,7-1-1,Cruz Azul,1.0,0.0,Guadalajara,4-2-3
219,228,2024-09-19,4-2-2,Guadalajara,2.0,0.0,León,0-4-4
227,219,2024-09-15,3-0-4,América,1.0,0.0,Guadalajara,3-2-2
219,17851,2024-08-31,3-2-1,Guadalajara,5.0,0.0,FC Juarez,0-1-5
232,219,2024-08-25,3-2-0,Tigres UANL,1.0,1.0,Guadalajara,2-2-1
219,20702,2024-07-20,2-1-1,Guadalajara,2.0,0.0,Mazatlán FC,0-1-3
222,219,2024-07-17,0-0-3,Querétaro,0.0,2.0,Guadalajara,1-1-1
10125,219,2024-07-13,2-0-0,Tijuana,4.0,2.0,Guadalajara,0-1-1
219,223,2024-07-07,0-1-0,Guadalajara,0.0,0.0,Toluca,0-1-0
220,232,2024-10-20,7-3-3,Monterrey,4.0,2.0,Tigres UANL,7-3-2
15720,220,2024-10-05,6-2-4,Atlético de San Luis,1.0,0.0,Monterrey,6-3-3
219,220,2024-09-29,4-3-3,Guadalajara,1.0,1.0,Monterrey,6-3-2
220,20702,2024-09-22,6-2-2,Monterrey,0.0,0.0,Mazatlán FC,1-4-4
220,17851,2024-09-19,6-1-2,Monterrey,3.0,2.0,FC Juarez,1-1-6
225,220,2024-09-15,1-2-5,Santos,0.0,2.0,Monterrey,5-1-2
220,223,2024-09-01,4-1-2,Monterrey,1.0,2.0,Toluca,4-2-0
10125,220,2024-08-24,3-2-1,Tijuana,2.0,2.0,Monterrey,4-1-1
231,220,2024-08-17,1-1-3,Puebla,1.0,2.0,Monterrey,4-0-1
220,222,2024-07-21,3-0-1,Monterrey,2.0,1.0,Querétaro,0-0-4
229,220,2024-07-18,1-0-2,Necaxa,0.0,1.0,Monterrey,2-0-1
220,218,2024-07-14,1-0-1,Monterrey,0.0,4.0,Cruz Azul,2-0-0
234,220,2024-07-08,0-0-1,Pachuca,0.0,1.0,Monterrey,1-0-0
231,218,2024-10-19,3-2-8,Puebla,1.0,2.0,Cruz Azul,10-1-1
218,229,2024-10-05,9-1-1,Cruz Azul,3.0,0.0,Necaxa,3-4-4
234,218,2024-09-29,2-3-5,Pachuca,2.0,4.0,Cruz Azul,8-1-1
218,219,2024-09-22,7-1-1,Cruz Azul,1.0,0.0,Guadalajara,4-2-3
15720,218,2024-09-18,4-2-3,Atlético de San Luis,3.0,1.0,Cruz Azul,6-1-1
228,218,2024-09-15,0-4-3,León,1.0,2.0,Cruz Azul,6-1-0
218,227,2024-09-01,5-1-0,Cruz Azul,4.0,1.0,América,2-0-4
222,218,2024-08-24,0-0-6,Querétaro,0.0,2.0,Cruz Azul,4-1-0
218,223,2024-07-21,3-1-0,Cruz Azul,1.0,1.0,Toluca,2-2-0
218,10125,2024-07-17,3-0-0,Cruz Azul,3.0,0.0,Tijuana,2-0-1
220,218,2024-07-14,1-0-1,Monterrey,0.0,4.0,Cruz Azul,2-0-0
218,20702,2024-07-07,1-0-0,Cruz Azul,1.0,0.0,Mazatlán FC,0-0-1
219,229,2024-10-23,6-3-4,Guadalajara,3.0,2.0,Necaxa,3-4-6
229,10125,2024-10-19,3-4-5,Necaxa,1.0,2.0,Tijuana,7-2-3
218,229,2024-10-05,9-1-1,Cruz Azul,3.0,0.0,Necaxa,3-4-4
222,229,2024-09-28,2-2-7,Querétaro,0.0,0.0,Necaxa,3-4-3
229,227,2024-09-22,3-3-3,Necaxa,1.0,1.0,América,4-1-4
20702,229,2024-09-19,1-3-4,Mazatlán FC,0.0,0.0,Necaxa,3-2-3
229,233,2024-09-14,3-1-3,Necaxa,2.0,0.0,Pumas UNAM,3-1-3
225,229,2024-09-02,1-2-4,Santos,3.0,2.0,Necaxa,2-1-3
229,17851,2024-08-24,2-1-2,Necaxa,3.0,0.0,FC Juarez,0-1-4
228,229,2024-07-22,0-3-1,León,1.0,1.0,Necaxa,1-1-2
229,220,2024-07-18,1-0-2,Necaxa,0.0,1.0,Monterrey,2-0-1
