Fecha,Home,Away,Goles Home,Goles Away
13-Abr-2023,América,Toluca,5 , 1
21-Oct-2023,América,Santos,4 , 3
15-Feb-2023,Atlanta United FC,Toluca,3 , 4
4-Ago-2024,Atlanta United FC,Santos,0 , 0
16-Jul-2024,Atlas,Santos,1 , 0
26-Ago-2023,Atlas,Toluca,0 , 0
4-Feb-2023,Atlas,Santos,3 , 0
11-Nov-2023,Atlético de San Luis,Santos,0 , 2
19-Abr-2023,Atlético de San Luis,Toluca,1 , 5
20-Ago-2023,Cruz Azul,Santos,2 , 2
20-Jul-2024,Cruz Azul,Toluca,1 , 1
8-Jul-2023,Cruz Azul,Toluca,0 , 2
9-Ago-2024,FC Cincinnati,Santos,1 , 1
31-Mar-2023,FC Juarez,Santos,2 , 1
8-Mar-2023,FC Juarez,Toluca,1 , 1
13-Ene-2023,Guadalajara,Santos,1 , 1
30-Ene-2023,Guadalajara,Toluca,3 , 2
6-Jul-2024,Guadalajara,Toluca,0 , 0
8-May-2023,Guadalajara,Toluca,1 , 0
7-Feb-2024,Herediano,Toluca,1 , 2
21-Oct-2023,León,Toluca,1 , 0
24-Ago-2024,León,Santos,1 , 1
26-Nov-2023,León,Santos,3 , 2
27-Ene-2023,León,Santos,3 , 2
1-Nov-2023,Mazatlán FC,Santos,3 , 1
10-Nov-2023,Mazatlán FC,Toluca,1 , 0
18-Feb-2023,Monterrey,Toluca,0 , 0
31-Ago-2024,Monterrey,Toluca,1 , 2
8-Nov-2023,Monterrey,Santos,3 , 0
27-Jul-2023,Nashville SC,Toluca,3 , 4
10-Feb-2023,Necaxa,Toluca,3 , 3
12-Abr-2023,Necaxa,Santos,2 , 0
18-Sep-2023,Pachuca,Santos,3 , 2
30-Mar-2023,Pachuca,Toluca,2 , 3
26-Ene-2023,Puebla,Toluca,1 , 1
5-Jul-2024,Puebla,Santos,1 , 0
7-Jul-2023,Puebla,Santos,2 , 3
18-Ago-2023,Pumas UNAM,Toluca,1 , 1
18-Feb-2023,Pumas UNAM,Santos,3 , 0
1-Mar-2023,Querétaro,Santos,0 , 1
12-Ene-2023,Querétaro,Toluca,2 , 2
1-Sep-2024,Santos,Necaxa,3 , 2
10-Feb-2023,Santos,Tigres UANL,0 , 3
13-Jul-2023,Santos,Atlas,0 , 0
13-Jul-2024,Santos,Pumas UNAM,1 , 1
14-Sep-2024,Santos,Monterrey,0 , 2
2-Jul-2023,Santos,Querétaro,0 , 2
2-Sep-2023,Santos,Pumas UNAM,2 , 1
20-Abr-2023,Santos,Pachuca,0 , 2
20-Jul-2024,Santos,Tigres UANL,0 , 3
21-Ene-2023,Santos,Monterrey,0 , 2
23-Nov-2023,Santos,Mazatlán FC,2 , 1
24-Sep-2023,Santos,Necaxa,2 , 5
25-Feb-2023,Santos,Mazatlán FC,1 , 0
25-Jul-2023,Santos,Houston Dynamo FC,2 , 2
26-Ago-2023,Santos,Guadalajara,2 , 1
28-Abr-2023,Santos,Atlético de San Luis,0 , 3
29-Jul-2023,Santos,Orlando City SC,2 , 3
29-Oct-2023,Santos,FC Juarez,5 , 1
30-Ene-2023,Santos,Puebla,3 , 0
31-Jul-2024,Santos,D.C. United,0 , 3
4-Oct-2023,Santos,Tijuana,2 , 1
5-Nov-2023,Santos,Toluca,3 , 1
6-Abr-2023,Santos,América,1 , 1
8-Oct-2023,Santos,León,0 , 2
9-Mar-2023,Santos,Cruz Azul,3 , 0
30-Ago-2023,Tigres UANL,Santos,3 , 2
4-Oct-2023,Tigres UANL,Toluca,2 , 2
15-Mar-2023,Tijuana,Santos,2 , 2
15-Sep-2023,Tijuana,Toluca,2 , 1
18-Ago-2024,Tijuana,Santos,3 , 1
1-Ago-2024,Toluca,Chicago Fire FC,3 , 1
1-Oct-2023,Toluca,Guadalajara,1 , 1
11-May-2023,Toluca,Guadalajara,0 , 0
13-Ago-2024,Toluca,Colorado Rapids,1 , 2
13-Jul-2024,Toluca,FC Juarez,3 , 2
14-Sep-2024,Toluca,Tijuana,4 , 0
15-Feb-2024,Toluca,Herediano,2 , 3
16-Jul-2023,Toluca,FC Juarez,2 , 4
17-Jul-2024,Toluca,Mazatlán FC,3 , 0
17-Mar-2023,Toluca,Pumas UNAM,3 , 0
2-Jul-2023,Toluca,Necaxa,0 , 0
2-Mar-2023,Toluca,Tigres UANL,2 , 1
20-Ene-2023,Toluca,Mazatlán FC,4 , 1
21-Feb-2023,Toluca,Santos,1 , 0
24-Sep-2023,Toluca,América,1 , 1
25-Ago-2024,Toluca,Atlético de San Luis,2 , 1
25-Feb-2023,Toluca,Tijuana,2 , 0
27-Abr-2023,Toluca,Cruz Azul,0 , 1
29-Oct-2023,Toluca,Atlético de San Luis,3 , 1
3-Feb-2023,Toluca,León,4 , 1
3-Sep-2023,Toluca,Pachuca,5 , 0
30-Ago-2023,Toluca,Monterrey,1 , 0
31-Jul-2023,Toluca,Colorado Rapids,4 , 1
31-Oct-2023,Toluca,Puebla,0 , 1
4-Ago-2023,Toluca,Sporting Kansas City,4 , 1
5-Ago-2024,Toluca,Sporting Kansas City,2 , 1
7-Abr-2023,Toluca,Atlas,4 , 1
8-Ago-2023,Toluca,Minnesota United FC,2 , 2
8-Oct-2023,Toluca,Querétaro,3 , 1
9-Ago-2024,Toluca,Houston Dynamo FC,2 , 2
