Año,Fecha,Home,Resultado,Away
2024,"Sáb., 14 de Sep.",Santos,0 - 2,Monterrey
2024,"Dom., 1 de Sep.",Santos,3 - 2,Necaxa
2024,"Sáb., 24 de Ago.",León,1 - 1,Santos
2024,"Dom., 18 de Ago.",Tijuana,3 - 1,Santos
2024,"Vie., 9 de Ago.",FC Cincinnati,1 - 1,Santos
2024,"Dom., 4 de Ago.",Atlanta United FC,0 - 0,Santos
2024,"Mié., 31 de Jul.",Santos,0 - 3,D.C. United
2024,"Sáb., 20 de Jul.",Santos,0 - 3,Tigres UANL
2024,"Mar., 16 de Jul.",Atlas,1 - 0,Santos
2024,"Sáb., 13 de Jul.",Santos,1 - 1,Pumas UNAM
2024,"Vie., 5 de Jul.",Puebla,1 - 0,Santos
2023,"Dom., 28 de Abr.",Santos,0 - 3,Atlético de San Luis
2023,"Sáb., 20 de Abr.",Santos,0 - 2,Pachuca
2023,"Vie., 12 de Abr.",Necaxa,2 - 0,Santos
2023,"Sáb., 6 de Abr.",Santos,1 - 1,América
2023,"Dom., 31 de Mar.",FC Juarez,2 - 1,Santos
2023,"Vie., 15 de Mar.",Tijuana,2 - 2,Santos
2023,"Sáb., 9 de Mar.",Santos,3 - 0,Cruz Azul
2023,"Vie., 1 de Mar.",Querétaro,0 - 1,Santos
2023,"Dom., 25 de Feb.",Santos,1 - 0,Mazatlán FC
2023,"Mié., 21 de Feb.",Toluca,1 - 0,Santos
2023,"Dom., 18 de Feb.",Pumas UNAM,3 - 0,Santos
2023,"Sáb., 10 de Feb.",Santos,0 - 3,Tigres UANL
2023,"Dom., 4 de Feb.",Atlas,3 - 0,Santos
2023,"Mar., 30 de Ene.",Santos,3 - 0,Puebla
2023,"Sáb., 27 de Ene.",León,3 - 2,Santos
2023,"Dom., 21 de Ene.",Santos,0 - 2,Monterrey
2023,"Sáb., 13 de Ene.",Guadalajara,1 - 1,Santos
2023,"Dom., 26 de Nov.",León,3 - 2,Santos
2023,"Jue., 23 de Nov.",Santos,2 - 1,Mazatlán FC
2023,"Sáb., 11 de Nov.",Atlético de San Luis,0 - 2,Santos
2023,"Mié., 8 de Nov.",Monterrey,3 - 0,Santos
2023,"Dom., 5 de Nov.",Santos,3 - 1,Toluca
2023,"Mié., 1 de Nov.",Mazatlán FC,3 - 1,Santos
2023,"Dom., 29 de Oct.",Santos,5 - 1,FC Juarez
2023,"Sáb., 21 de Oct.",América,4 - 3,Santos
