ID,Equipo,Partidos jugados,Partidos ganados,Empates,Derrotas,Goles a favor,Goles en contra,Diferencia,PTS
234,Pachuca,17.0,12.0,2.0,3.0,30.0,15.0,15.0,38.0
232,Tigres UANL,17.0,10.0,3.0,4.0,30.0,20.0,10.0,33.0
216,Atlas,17.0,7.0,6.0,4.0,21.0,15.0,6.0,27.0
227,América,17.0,7.0,5.0,5.0,24.0,17.0,7.0,26.0
231,Puebla,17.0,7.0,5.0,5.0,25.0,19.0,6.0,26.0
219,Guadalajara,17.0,7.0,5.0,5.0,25.0,21.0,4.0,26.0
220,Monterrey,17.0,7.0,5.0,5.0,21.0,17.0,4.0,26.0
218,Cruz Azul,17.0,7.0,4.0,6.0,20.0,17.0,3.0,25.0
229,Necaxa,17.0,7.0,2.0,8.0,21.0,21.0,0.0,23.0
15720,Atlético de San Luis,17.0,7.0,2.0,8.0,21.0,22.0,-1.0,23.0
233,Pumas UNAM,17.0,6.0,4.0,7.0,24.0,21.0,3.0,22.0
20702,Mazatlán FC,17.0,6.0,3.0,8.0,20.0,24.0,-4.0,21.0
228,León,17.0,5.0,6.0,6.0,17.0,22.0,-5.0,21.0
225,Santos,17.0,5.0,5.0,7.0,25.0,25.0,0.0,20.0
223,Toluca,17.0,5.0,4.0,8.0,21.0,36.0,-15.0,19.0
222,Querétaro,17.0,3.0,8.0,6.0,18.0,21.0,-3.0,17.0
10125,Tijuana,17.0,4.0,5.0,8.0,14.0,26.0,-12.0,17.0
17851,FC Juarez,17.0,3.0,2.0,12.0,10.0,28.0,-18.0,11.0
